index,LS,ES,MS
159,Wake,N1,N2
160,Wake,N1,N1
161,N1,N2,N2
162,N1,N2,N2
163,N1,N2,N2
176,N2,Wake,Wake
179,N1,N2,N2
181,N1,N1,N2
187,N2,N1,N2
188,N2,N1,N2
275,N1,Wake,N1
276,N1,Wake,N2
277,N1,Wake,N2
278,N1,Wake,N2
279,N1,Wake,N1
280,N1,Wake,Wake
285,N2,N1,N2
286,N2,Wake,N2
288,N2,N1,N2
289,N2,N1,N1
290,N2,N1,Wake
291,N2,N1,N1
293,N1,Wake,N1
294,N1,Wake,Wake
296,N1,N1,Wake
297,N1,N1,Wake
298,N1,N1,Wake
299,N1,N1,Wake
300,N1,Wake,Wake
301,N1,N1,Wake
302,N1,N1,Wake
303,N2,N1,Wake
304,N2,N2,N1
305,N2,N2,N1
306,N2,N2,N1
307,N2,N2,N1
310,N2,N1,N1
311,N2,N1,N2
312,N2,N1,N2
313,N2,N1,N2
314,N2,N1,N2
320,N2,N1,N2
322,N2,Wake,Wake
327,N2,N1,N2
348,N2,Wake,N2
351,Wake,Wake,N1
352,N1,N1,N2
353,Wake,Wake,N1
355,N1,N2,N2
358,Wake,Wake,N1
360,Wake,Wake,N1
361,Wake,Wake,N1
362,Wake,Wake,N1
363,N1,N1,N2
364,N1,N1,N2
369,Wake,Wake,N1
372,N2,N1,N2
375,Wake,Wake,N1
376,N1,N1,N2
377,N1,N2,N2
378,Wake,Wake,N2
379,Wake,Wake,N1
380,N1,N1,N2
381,N1,N2,N2
382,Wake,Wake,N1
383,N1,Wake,N1
384,N1,Wake,N1
385,N1,N1,N2
390,N2,N1,N2
391,N2,N1,N2
419,N1,Wake,Wake
420,N1,Wake,Wake
421,N1,Wake,N1
422,N1,Wake,N1
423,N1,Wake,N1
424,N1,Wake,Wake
426,N1,Wake,N1
427,N2,Wake,N1
428,N2,Wake,N1
429,N2,Wake,N1
430,N2,Wake,N1
431,Wake,Wake,N1
449,Wake,Wake,N1
450,Wake,Wake,N1
451,N1,Wake,N1
452,Wake,Wake,N1
454,N1,Wake,N1
455,N1,Wake,N2
456,N1,Wake,N2
457,N1,N1,N2
458,N2,N1,N2
469,N2,N3,N2
471,N2,N3,N2
475,N2,Wake,N2
485,N2,Wake,N2
486,N2,N1,N2
491,N1,Wake,Wake
493,N2,Wake,N1
494,N2,Wake,N1
496,N2,Wake,Wake
513,N2,N3,N2
514,N3,N2,N2
515,N3,N3,N2
516,N3,N3,N2
517,N3,N3,N2
518,N3,N2,N2
519,N3,N2,N2
520,N2,Wake,N1
523,N2,N1,N2
529,N2,N1,N2
533,N3,N3,N2
534,N3,N3,N2
536,N3,N3,N2
586,N3,N2,N3
596,Rem,N3,N3
597,Rem,N2,N2
598,Rem,Rem,N2
623,N1,Rem,Rem
639,Rem,N1,Rem
640,Rem,N2,Rem
641,Rem,N2,N2
642,Rem,N2,N2
643,Wake,Wake,N1
644,N1,N2,N2
655,N2,Wake,N2
675,N2,N3,N2
678,N2,N3,N2
679,N3,N3,N2
680,N3,N3,N2
681,N3,N3,N2
682,N3,N3,N2
683,N3,N3,N2
684,N3,N3,N2
685,N3,N3,N2
688,Wake,Wake,N2
710,N1,Wake,Wake
711,N1,Wake,Wake
713,Wake,Wake,N2
714,N1,N1,N2
715,N1,N1,N2
734,N2,N2,N3
741,N2,N3,N2
742,N3,N3,N2
743,N3,N2,N2
749,N2,N3,N2
750,N2,N3,N2
753,N3,N2,N2
754,N3,N2,N2
755,N3,N2,N2
756,N3,N2,N2
757,N3,N2,N2
758,N3,N2,N2
770,N1,Wake,N1
771,N1,N1,N2
782,N2,N3,N2
784,Rem,N2,Rem
801,Wake,Rem,Rem
802,Rem,N1,Wake
813,N1,Wake,N1
814,N1,Wake,Wake
815,N1,Wake,N1
817,N2,N2,Rem
818,N2,N2,Rem
819,N2,N2,Rem
820,N2,N2,Rem
828,Rem,N2,N2
829,Rem,N2,N2
830,Rem,N2,N2
831,Rem,N2,Rem
848,N1,N1,Rem
884,Rem,N2,Rem
885,Rem,Wake,Rem
886,Rem,N1,Rem
887,Rem,N1,N2
888,Rem,N2,N2
889,Rem,N2,N2
890,Rem,N2,N2
891,Rem,N2,N2
892,Rem,N2,N2
893,Rem,N2,N2
894,Rem,N2,Rem
895,N1,N1,Rem
896,N1,N2,Rem
897,Rem,N2,Rem
898,Rem,N2,Rem
899,Rem,N2,Rem
900,Rem,N2,N2
901,Rem,N2,N2
902,Rem,N2,N2
903,Rem,N2,N2
